area_da_propriedade__hectares__,uso_de_praticas_convencionais,total_respostas
1 - 5 ha,Aração,66
1 - 5 ha,Gradagem,66
1 - 5 ha,Monocultura,11
1 - 5 ha,Não usa,10
1 - 5 ha,Pastagem nativa,13
1 - 5 ha,Plantio convencional,69
1 - 5 ha,Queimadas,14
1 - 5 ha,Roça de toco,24
1 - 5 ha,Uso de agrotóxicos,34
10 - 20 ha,Aração,126
10 - 20 ha,Controle biológico de pragas e doenças.,1
10 - 20 ha,Gradagem,126
10 - 20 ha,Monocultura,19
10 - 20 ha,Não usa,8
10 - 20 ha,Pastagem nativa,33
10 - 20 ha,Plantio convencional,94
10 - 20 ha,Queimadas,30
10 - 20 ha,Roça de toco,53
10 - 20 ha,Uso de agrotóxicos,70
100 - 200 ha,Aração,46
100 - 200 ha,Gradagem,46
100 - 200 ha,Monocultura,7
100 - 200 ha,Não usa,6
100 - 200 ha,Pastagem nativa,23
100 - 200 ha,Plantio convencional,40
100 - 200 ha,Queimadas,10
100 - 200 ha,Roça de toco,13
100 - 200 ha,Uso de agrotóxicos,26
20 - 50 ha,Aração,410
20 - 50 ha,Gradagem,410
20 - 50 ha,Monocultura,57
20 - 50 ha,Não usa,27
20 - 50 ha,Pastagem nativa,93
20 - 50 ha,Plantio convencional,302
20 - 50 ha,Queimadas,91
20 - 50 ha,Roça de toco,133
20 - 50 ha,Uso de agrotóxicos,254
200 - 320 ha,Aração,10
200 - 320 ha,Gradagem,10
200 - 320 ha,Monocultura,1
200 - 320 ha,Não usa,2
200 - 320 ha,Pastagem nativa,7
200 - 320 ha,Plantio convencional,7
200 - 320 ha,Queimadas,3
200 - 320 ha,Roça de toco,4
200 - 320 ha,Uso de agrotóxicos,7
5 - 10 ha,Aração,61
5 - 10 ha,Gradagem,61
5 - 10 ha,Monocultura,7
5 - 10 ha,Não usa,7
5 - 10 ha,Pastagem nativa,16
5 - 10 ha,Plantio convencional,45
5 - 10 ha,Plantio irrigado,1
5 - 10 ha,Produto natural para controle de pragas e doenças.,1
5 - 10 ha,Queimadas,17
5 - 10 ha,Roça de toco,23
5 - 10 ha,Uso de agrotóxicos,38
50 - 100 ha,Aração,132
50 - 100 ha,Gradagem,132
50 - 100 ha,Monocultura,30
50 - 100 ha,Não usa,10
50 - 100 ha,Pastagem nativa,59
50 - 100 ha,Plantio convencional,98
50 - 100 ha,Queimadas,16
50 - 100 ha,Roça de toco,39
50 - 100 ha,Uso de agrotóxicos,81
Acima de 320 ha,Aração,3
Acima de 320 ha,Gradagem,3
Acima de 320 ha,Monocultura,1
Acima de 320 ha,Pastagem nativa,2
Acima de 320 ha,Plantio convencional,1
Acima de 320 ha,Uso de agrotóxicos,3
Até 1 ha,Aração,14
Até 1 ha,Gradagem,14
Até 1 ha,Monocultura,2
Até 1 ha,Não usa,12
Até 1 ha,Pastagem nativa,2
Até 1 ha,Plantio convencional,19
Até 1 ha,Queimadas,4
Até 1 ha,Roça de toco,1
Até 1 ha,Uso de agrotóxicos,15
