area_da_propriedade__hectares__,uso_de_praticas_sustentaveis_,total_respostas
1 - 5 ha,Aceiros,58
1 - 5 ha,Adubação,64
1 - 5 ha,Adubação verde,28
1 - 5 ha,Calagem,33
1 - 5 ha,Consórcio,20
1 - 5 ha,Curva de nível,3
1 - 5 ha,Descarte correto de embalagens,16
1 - 5 ha,Floresta,1
1 - 5 ha,Ilpf - integração lavoura pecuária,1
1 - 5 ha,Não usa,7
1 - 5 ha,Plantio direto,27
1 - 5 ha,Reaproveitamento de residuos,25
1 - 5 ha,Recuperação de pastagens,4
1 - 5 ha,Rotação de cultura,41
10 - 20 ha,Aceiros,139
10 - 20 ha,Adubação,88
10 - 20 ha,Adubação verde,24
10 - 20 ha,Calagem,48
10 - 20 ha,Consórcio,23
10 - 20 ha,Curva de nível,2
10 - 20 ha,Descarte correto de embalagens,11
10 - 20 ha,Não usa,7
10 - 20 ha,Outros,1
10 - 20 ha,Plantio direto,29
10 - 20 ha,Reaproveitamento de residuos,20
10 - 20 ha,Recuperação de pastagens,18
10 - 20 ha,Rotação de cultura,42
100 - 200 ha,Aceiros,48
100 - 200 ha,Adubação,27
100 - 200 ha,Adubação verde,10
100 - 200 ha,Calagem,26
100 - 200 ha,Consórcio,14
100 - 200 ha,Descarte correto de embalagens,10
100 - 200 ha,Ilp - integração lavoura pecuária,1
100 - 200 ha,Não usa,2
100 - 200 ha,Plantio direto,16
100 - 200 ha,Reaproveitamento de residuos,4
100 - 200 ha,Recuperação de pastagens,19
100 - 200 ha,Rotação de cultura,19
20 - 50 ha,Aceiros,446
20 - 50 ha,Adubação,277
20 - 50 ha,Adubação verde,56
20 - 50 ha,Aproveitamento da floresta,1
20 - 50 ha,Calagem,177
20 - 50 ha,Consórcio,53
20 - 50 ha,Curva de nível,18
20 - 50 ha,Descarte correto de embalagens,65
20 - 50 ha,Floresta,1
20 - 50 ha,Ilp - integração lavoura pecuária,5
20 - 50 ha,Ilpf - integração lavoura pecuária,1
20 - 50 ha,Não usa,37
20 - 50 ha,Plantio direto,55
20 - 50 ha,Reaproveitamento de residuos,59
20 - 50 ha,Recuperação de pastagens,98
20 - 50 ha,Rotação de cultura,135
200 - 320 ha,Aceiros,12
200 - 320 ha,Adubação,10
200 - 320 ha,Adubação verde,1
200 - 320 ha,Calagem,8
200 - 320 ha,Consórcio,4
200 - 320 ha,Curva de nível,2
200 - 320 ha,Descarte correto de embalagens,2
200 - 320 ha,Ilp - integração lavoura pecuária,1
200 - 320 ha,Não usa,1
200 - 320 ha,Plantio direto,4
200 - 320 ha,Reaproveitamento de residuos,3
200 - 320 ha,Recuperação de pastagens,7
200 - 320 ha,Rotação de cultura,5
5 - 10 ha,Aceiros,54
5 - 10 ha,Adubação,46
5 - 10 ha,Adubação verde,19
5 - 10 ha,Calagem,31
5 - 10 ha,Consórcio,17
5 - 10 ha,Curva de nível,4
5 - 10 ha,Descarte correto de embalagens,5
5 - 10 ha,Floresta,1
5 - 10 ha,Ilp - integração lavoura pecuária,1
5 - 10 ha,Ilpf - integração lavoura pecuária,1
5 - 10 ha,Não usa,6
5 - 10 ha,Plantio direto,14
5 - 10 ha,Reaproveitamento de residuos,14
5 - 10 ha,Recuperação de pastagens,9
5 - 10 ha,Rotação de cultura,24
50 - 100 ha,Aceiros,148
50 - 100 ha,Adubação,92
50 - 100 ha,Adubação verde,25
50 - 100 ha,Apiário,1
50 - 100 ha,Calagem,79
50 - 100 ha,Consórcio,22
50 - 100 ha,Curva de nível,11
50 - 100 ha,Descarte correto de embalagens,11
50 - 100 ha,Floresta,2
50 - 100 ha,Ilp - integração lavoura pecuária,4
50 - 100 ha,Ilpf - integração lavoura pecuária,2
50 - 100 ha,Não usa,14
50 - 100 ha,Plantio direto,23
50 - 100 ha,Reaproveitamento de residuos,26
50 - 100 ha,Recuperação de pastagens,35
50 - 100 ha,Rotação de cultura,44
Acima de 320 ha,Aceiros,3
Acima de 320 ha,Adubação,2
Acima de 320 ha,Adubação verde,2
Acima de 320 ha,Calagem,3
Acima de 320 ha,Consórcio,1
Acima de 320 ha,Curva de nível,2
Acima de 320 ha,Descarte correto de embalagens,1
Acima de 320 ha,Ilp - integração lavoura pecuária,1
Acima de 320 ha,Plantio direto,1
Acima de 320 ha,Reaproveitamento de residuos,1
Acima de 320 ha,Recuperação de pastagens,3
Acima de 320 ha,Rotação de cultura,2
Até 1 ha,Aceiros,13
Até 1 ha,Adubação,16
Até 1 ha,Adubação verde,8
Até 1 ha,Calagem,8
Até 1 ha,Consórcio,3
Até 1 ha,Descarte correto de embalagens,1
Até 1 ha,Não usa,11
Até 1 ha,Plantio direto,3
Até 1 ha,Reaproveitamento de residuos,5
Até 1 ha,Rotação de cultura,14
