regional_,area_da_propriedade__hectares__,usa_agrotoxicos_,total_respostas
Araguaina,1 - 5 ha,Não,13
Araguaina,1 - 5 ha,Sim,8
Araguaina,10 - 20 ha,Não,20
Araguaina,10 - 20 ha,Sim,17
Araguaina,100 - 200 ha,Não,1
Araguaina,100 - 200 ha,Sim,3
Araguaina,20 - 50 ha,Não,21
Araguaina,20 - 50 ha,Sim,95
Araguaina,200 - 320 ha,Sim,3
Araguaina,5 - 10 ha,Não,1
Araguaina,5 - 10 ha,Sim,12
Araguaina,50 - 100 ha,Não,15
Araguaina,50 - 100 ha,Sim,25
Araguaina,Até 1 ha,Não,2
Araguaina,Até 1 ha,Sim,2
Araguatins,1 - 5 ha,Não,2
Araguatins,1 - 5 ha,Sim,19
Araguatins,10 - 20 ha,Não,1
Araguatins,10 - 20 ha,Sim,28
Araguatins,100 - 200 ha,Não,1
Araguatins,100 - 200 ha,Sim,2
Araguatins,20 - 50 ha,Não,19
Araguatins,20 - 50 ha,Sim,72
Araguatins,5 - 10 ha,Não,4
Araguatins,5 - 10 ha,Sim,10
Araguatins,50 - 100 ha,Não,1
Araguatins,50 - 100 ha,Sim,8
Araguatins,Acima de 320 ha,Sim,1
Araguatins,Até 1 ha,Não,4
Araguatins,Até 1 ha,Sim,14
Colinas,1 - 5 ha,Sim,4
Colinas,10 - 20 ha,Não,1
Colinas,10 - 20 ha,Sim,8
Colinas,100 - 200 ha,Sim,2
Colinas,20 - 50 ha,Não,1
Colinas,20 - 50 ha,Sim,11
Colinas,5 - 10 ha,Sim,5
Colinas,50 - 100 ha,Não,4
Colinas,50 - 100 ha,Sim,6
Colinas,Acima de 320 ha,Sim,2
Gurupi,1 - 5 ha,Não,4
Gurupi,10 - 20 ha,Não,10
Gurupi,10 - 20 ha,Sim,6
Gurupi,100 - 200 ha,Não,1
Gurupi,100 - 200 ha,Sim,4
Gurupi,20 - 50 ha,Não,53
Gurupi,20 - 50 ha,Sim,36
Gurupi,200 - 320 ha,Não,1
Gurupi,200 - 320 ha,Sim,1
Gurupi,5 - 10 ha,Não,3
Gurupi,5 - 10 ha,Sim,1
Gurupi,50 - 100 ha,Não,10
Gurupi,50 - 100 ha,Sim,6
Gurupi,Até 1 ha,Sim,1
Miracema,1 - 5 ha,Não,11
Miracema,1 - 5 ha,Sim,7
Miracema,10 - 20 ha,Não,19
Miracema,10 - 20 ha,Sim,12
Miracema,100 - 200 ha,Não,4
Miracema,100 - 200 ha,Sim,4
Miracema,20 - 50 ha,Não,16
Miracema,20 - 50 ha,Sim,50
Miracema,200 - 320 ha,Não,1
Miracema,5 - 10 ha,Não,12
Miracema,5 - 10 ha,Sim,10
Miracema,50 - 100 ha,Não,4
Miracema,50 - 100 ha,Sim,21
Miracema,Até 1 ha,Não,1
Paraiso,1 - 5 ha,Não,13
Paraiso,1 - 5 ha,Sim,12
Paraiso,10 - 20 ha,Não,19
Paraiso,10 - 20 ha,Sim,16
Paraiso,100 - 200 ha,Não,9
Paraiso,100 - 200 ha,Sim,21
Paraiso,20 - 50 ha,Não,70
Paraiso,20 - 50 ha,Sim,65
Paraiso,200 - 320 ha,Não,5
Paraiso,200 - 320 ha,Sim,1
Paraiso,5 - 10 ha,Não,6
Paraiso,5 - 10 ha,Sim,8
Paraiso,50 - 100 ha,Não,28
Paraiso,50 - 100 ha,Sim,28
Paraiso,Acima de 320 ha,Não,1
Paraiso,Até 1 ha,Não,9
Paraiso,Até 1 ha,Sim,1
Porto,1 - 5 ha,Não,8
Porto,1 - 5 ha,Sim,3
Porto,10 - 20 ha,Não,10
Porto,10 - 20 ha,Sim,3
Porto,100 - 200 ha,Não,1
Porto,100 - 200 ha,Sim,1
Porto,20 - 50 ha,Não,34
Porto,20 - 50 ha,Sim,10
Porto,5 - 10 ha,Não,2
Porto,5 - 10 ha,Sim,3
Porto,50 - 100 ha,Não,5
Porto,50 - 100 ha,Sim,6
Porto,Até 1 ha,Não,7
Taguatinga,1 - 5 ha,Não,11
Taguatinga,1 - 5 ha,Sim,7
Taguatinga,10 - 20 ha,Não,17
Taguatinga,10 - 20 ha,Sim,6
Taguatinga,100 - 200 ha,Não,10
Taguatinga,100 - 200 ha,Sim,3
Taguatinga,20 - 50 ha,Não,35
Taguatinga,20 - 50 ha,Sim,10
Taguatinga,200 - 320 ha,Não,2
Taguatinga,200 - 320 ha,Sim,4
Taguatinga,5 - 10 ha,Não,7
Taguatinga,5 - 10 ha,Sim,5
Taguatinga,50 - 100 ha,Não,21
Taguatinga,50 - 100 ha,Sim,4
Taguatinga,Até 1 ha,Não,3
